show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s23,Movie,The Crimson Frontier,Takashi Miike,Gong Yoo,Japan,"December 05, 2023",1992,TV-MA,96 min,"Horror Movies, Documentaries, TV Comedies","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s24,Movie,The Velvet Symphony,Greta Gerwig,Priyanka Chopra,Italy,"August 16, 2019",1991,PG,164 min,"International TV Shows, Horror Movies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s25,Movie,The Lost Dream,Steven Spielberg,"Scarlett Johansson, Tom Hanks, Penélope Cruz",Italy,"July 02, 2017",1991,G,121 min,"Sci-Fi & Fantasy, Action & Adventure","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s26,Movie,The Fallen Dream,,"Timothée Chalamet, Leonardo DiCaprio, Viola Davis, Mahershala Ali",Japan,"September 09, 2021",2017,TV-MA,163 min,"International TV Shows, Reality TV",A compelling narrative following characters as they navigate challenges in a changing world.
s27,Movie,The Infinite Heart,Spike Lee,,United States,"January 17, 2024",2024,G,116 min,"Action & Adventure, TV Dramas","A heartwarming story of friendship, love, and perseverance across generations."
s28,Movie,The Lost Truth,Anurag Kashyap,"Dev Patel, Gong Yoo",Brazil,"June 05, 2016",2002,TV-14,155 min,"Thrillers, Children & Family Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s29,Movie,The Silent Truth,Ridley Scott,Gong Yoo,Australia,"March 19, 2020",2018,TV-PG,156 min,Reality TV,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s30,TV Show,The Eternal Journey,,"Timothée Chalamet, Denzel Washington, Zendaya, Scarlett Johansson",Canada,"August 26, 2016",1991,TV-MA,2 Seasons,"Action & Adventure, Anime Series","In a race against time, a dedicated team unravels a mystery that threatens everything."
s31,TV Show,The Infinite Heart,James Cameron,"Song Kang-ho, Scarlett Johansson, Shah Rukh Khan",United States,"August 25, 2024",1996,TV-Y7,2 Seasons,Reality TV,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s32,Movie,The Broken Promise,Pedro Almodóvar,Penélope Cruz,Germany,"June 21, 2023",2018,TV-14,176 min,"Anime Series, Thrillers, Docuseries","In a race against time, a dedicated team unravels a mystery that threatens everything."
s33,Movie,The Broken Storm,Anurag Kashyap,"Ana de Armas, Scarlett Johansson, Mahershala Ali",Brazil,"January 17, 2018",2011,TV-MA,139 min,International Movies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s34,Movie,The Hidden Heart,Martin Scorsese,"Gong Yoo, Timothée Chalamet, Omar Sy",United States,"September 17, 2019",2014,PG-13,179 min,"Crime TV Shows, Docuseries, Dramas","An in-depth exploration of human emotions, secrets, and the choices that define us."
s35,Movie,The Midnight Shadow,Takashi Miike,"Cillian Murphy, Scarlett Johansson, Javier Bardem, Mahershala Ali",United States,"July 02, 2022",2015,PG,177 min,"International Movies, Romantic TV Shows",A compelling narrative following characters as they navigate challenges in a changing world.
s36,TV Show,The Infinite Frontier,Martin Scorsese,"Shah Rukh Khan, Penélope Cruz, Priyanka Chopra",South Korea,"February 06, 2020",2010,TV-PG,4 Seasons,"International TV Shows, Sci-Fi & Fantasy","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s37,Movie,The Silent Mirage,Steven Spielberg,"Scarlett Johansson, Ana de Armas",Mexico,"May 08, 2015",2005,G,177 min,International Movies,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s38,Movie,The Lost Frontier,Bong Joon-ho,"Lupita Nyong'o, Mahershala Ali, Zendaya",Australia,"May 22, 2023",1997,PG,109 min,TV Action & Adventure,A compelling narrative following characters as they navigate challenges in a changing world.
s39,TV Show,The Infinite Dream,,Denzel Washington,Mexico,"October 26, 2022",2009,TV-G,5 Seasons,TV Action & Adventure,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s40,Movie,The Sacred Shadow,,"Denzel Washington, Marion Cotillard",United States,"March 22, 2024",2021,R,125 min,"Anime Series, International Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s41,Movie,The Fallen Storm,Taika Waititi,"Zendaya, Javier Bardem, Penélope Cruz, Gong Yoo",Australia,"July 20, 2024",2005,R,105 min,"Horror Movies, Anime Series","A heartwarming story of friendship, love, and perseverance across generations."
s42,Movie,The Midnight Whisper,Christopher Nolan,"Timothée Chalamet, Priyanka Chopra, Javier Bardem",Italy,"February 19, 2018",2007,PG-13,136 min,Action & Adventure,"When an unexpected event turns their life upside down, an unlikely hero must step up."
s43,TV Show,The Rising Mirage,,"Ana de Armas, Lupita Nyong'o, Javier Bardem",United States,"June 26, 2017",2015,TV-G,2 Seasons,"TV Action & Adventure, TV Comedies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s44,Movie,The Crimson Shadow,Takashi Miike,"Margot Robbie, Lupita Nyong'o",Japan,"May 09, 2016",2002,TV-MA,85 min,"Romantic TV Shows, Thrillers, Romantic Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s45,TV Show,The Endless Frontier,Anurag Kashyap,"Florence Pugh, Viola Davis, Tom Hanks, Scarlett Johansson",Japan,,2024,TV-14,3 Seasons,Comedies,"A heartwarming story of friendship, love, and perseverance across generations."
s46,Movie,The Hidden Protocol,Quentin Tarantino,,Spain,"October 27, 2018",2001,PG-13,102 min,"Documentaries, Action & Adventure","In a race against time, a dedicated team unravels a mystery that threatens everything."
s47,Movie,The Infinite Echo,Greta Gerwig,Daniel Kaluuya,India,"April 30, 2016",2016,G,169 min,"Crime TV Shows, Anime Series, Romantic TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s48,TV Show,The Velvet Truth,,,Brazil,"July 22, 2023",2003,TV-G,2 Seasons,"Action & Adventure, Thrillers","When an unexpected event turns their life upside down, an unlikely hero must step up."
s49,Movie,The Golden Horizon,Christopher Nolan,"Penélope Cruz, Lupita Nyong'o, Cillian Murphy",United States,"December 05, 2022",2008,TV-PG,79 min,"Horror Movies, Sci-Fi & Fantasy, Romantic Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s50,Movie,The Broken Night,Spike Lee,Denzel Washington,Italy,"May 26, 2023",2008,TV-PG,85 min,"Children & Family Movies, Crime TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s51,Movie,The Rising Chronicles,Martin Scorsese,"Meryl Streep, Gong Yoo, Pedro Pascal, Timothée Chalamet",United States,"July 24, 2022",1991,NC-17,143 min,Thrillers,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s52,Movie,The Frozen Storm,Denis Villeneuve,"Gong Yoo, Ana de Armas, Javier Bardem, Denzel Washington",South Korea,"July 07, 2022",1996,PG,112 min,"Docuseries, Children & Family Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s53,TV Show,The Sacred Echo,,"Mahershala Ali, Timothée Chalamet",Italy,"October 08, 2020",1990,TV-G,5 Seasons,"International TV Shows, Comedies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s54,Movie,The Forgotten Protocol,,"Zendaya, Meryl Streep, Tom Hanks",United Kingdom,"November 30, 2019",2021,R,73 min,"Horror Movies, Thrillers, Children & Family Movies","A heartwarming story of friendship, love, and perseverance across generations."
s55,Movie,The Velvet Journey,Guillermo del Toro,,India,"September 22, 2016",2021,NC-17,135 min,"Sci-Fi & Fantasy, International TV Shows, Docuseries","In a race against time, a dedicated team unravels a mystery that threatens everything."
s56,Movie,The Sacred Night,James Cameron,Cillian Murphy,United Kingdom,"February 05, 2018",2016,TV-MA,170 min,"Sci-Fi & Fantasy, Dramas, Children & Family Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s57,Movie,The Infinite Frontier,,"Shah Rukh Khan, Penélope Cruz, Omar Sy",France,"February 03, 2021",2014,TV-PG,111 min,Horror Movies,"A heartwarming story of friendship, love, and perseverance across generations."
s58,Movie,The Velvet Echo,Ava DuVernay,"Lupita Nyong'o, Song Kang-ho, Dev Patel",Mexico,"July 21, 2020",1992,PG,134 min,"TV Dramas, Documentaries, Anime Series",A compelling narrative following characters as they navigate challenges in a changing world.
s59,Movie,The Frozen Empire,Greta Gerwig,"Ana de Armas, Shah Rukh Khan, Denzel Washington",Japan,"October 08, 2022",2015,R,179 min,"Romantic TV Shows, Crime TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s60,Movie,The Rising Mirage,Steven Spielberg,"Denzel Washington, Scarlett Johansson, Ana de Armas, Dev Patel",Canada,"November 13, 2019",1996,R,126 min,Children & Family Movies,A compelling narrative following characters as they navigate challenges in a changing world.
s61,Movie,The Dark Truth,David Fincher,"Gong Yoo, Shah Rukh Khan",South Korea,"November 21, 2023",2001,PG,92 min,Crime TV Shows,"A heartwarming story of friendship, love, and perseverance across generations."
s62,TV Show,The Rising Frontier,,"Ana de Armas, Mahershala Ali, Penélope Cruz",United States,"March 20, 2020",2008,TV-G,5 Seasons,Action & Adventure,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s63,TV Show,The Infinite Truth,Alfonso Cuarón,"Penélope Cruz, Florence Pugh",South Korea,"March 12, 2016",2005,TV-Y7,5 Seasons,"TV Action & Adventure, Children & Family Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s64,Movie,The Midnight Storm,Christopher Nolan,"Dev Patel, Zendaya, Pedro Pascal, Meryl Streep",Brazil,"March 18, 2018",2004,TV-MA,98 min,"Romantic Movies, Sci-Fi & Fantasy, International Movies",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s65,Movie,The Dark Truth,Pedro Almodóvar,,Brazil,"April 23, 2018",2010,TV-14,92 min,International Movies,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s66,Movie,The Crimson Kingdom,Anurag Kashyap,"Priyanka Chopra, Mahershala Ali",Spain,"April 23, 2018",2011,R,129 min,International Movies,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s67,TV Show,The Midnight Mirage,,"Leonardo DiCaprio, Mahershala Ali, Omar Sy",France,"July 16, 2022",2006,TV-Y,4 Seasons,"TV Comedies, Documentaries, Horror Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s68,Movie,The Sacred Whisper,Taika Waititi,Ana de Armas,Spain,"May 22, 2018",2016,R,87 min,Comedies,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s69,TV Show,The Lost Promise,,"Shah Rukh Khan, Song Kang-ho, Penélope Cruz, Margot Robbie",Brazil,"January 21, 2021",2016,TV-Y,6 Seasons,"International Movies, International TV Shows, Documentaries","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s70,Movie,The Velvet Storm,Steven Spielberg,"Tom Hanks, Penélope Cruz",Canada,"February 11, 2016",2013,TV-MA,77 min,"Sci-Fi & Fantasy, Romantic Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s71,TV Show,The Frozen Journey,,"Leonardo DiCaprio, Meryl Streep, Timothée Chalamet, Scarlett Johansson",Italy,"October 09, 2015",2003,TV-Y,2 Seasons,TV Dramas,"A humorous and insightful look into modern relationships, career ambitions, and daily life."
s72,Movie,The Forgotten Empire,Spike Lee,Shah Rukh Khan,Italy,"May 31, 2022",1991,PG,71 min,"Horror Movies, TV Dramas",A compelling narrative following characters as they navigate challenges in a changing world.
s73,Movie,The Dark Night,Alfonso Cuarón,"Viola Davis, Pedro Pascal, Denzel Washington, Javier Bardem",France,"March 22, 2016",2018,G,148 min,Reality TV,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s74,Movie,The Silent Echo,Sion Sono,"Gong Yoo, Dev Patel, Viola Davis",Spain,"November 27, 2015",2010,PG,78 min,Sci-Fi & Fantasy,"A heartwarming story of friendship, love, and perseverance across generations."
s75,Movie,The Sacred Whisper,James Cameron,"Marion Cotillard, Florence Pugh, Penélope Cruz, Cillian Murphy",Italy,"July 25, 2024",2003,TV-14,127 min,International TV Shows,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s76,TV Show,The Midnight Shadow,Ava DuVernay,"Timothée Chalamet, Dev Patel, Mahershala Ali",United Kingdom,"April 26, 2020",1994,TV-MA,1 Season,International TV Shows,A compelling narrative following characters as they navigate challenges in a changing world.
s77,TV Show,The Crimson Night,,"Omar Sy, Timothée Chalamet, Dev Patel, Viola Davis",Mexico,"September 29, 2019",1993,TV-PG,5 Seasons,"TV Comedies, Documentaries","A heartwarming story of friendship, love, and perseverance across generations."
s78,Movie,The Hidden Protocol,Guillermo del Toro,,Germany,"July 21, 2023",2007,G,173 min,"Romantic TV Shows, TV Action & Adventure",A compelling narrative following characters as they navigate challenges in a changing world.
s79,Movie,The Endless Empire,Denis Villeneuve,"Lupita Nyong'o, Zendaya",France,"January 13, 2017",1999,TV-14,78 min,Dramas,A compelling narrative following characters as they navigate challenges in a changing world.
s80,TV Show,The Secret Dream,,"Priyanka Chopra, Margot Robbie",France,"May 13, 2021",1995,TV-MA,2 Seasons,Comedies,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s81,Movie,The Frozen Shadow,Sion Sono,"Penélope Cruz, Gong Yoo, Mahershala Ali, Tom Hanks",India,"March 30, 2016",2008,TV-PG,137 min,"Children & Family Movies, Comedies, Horror Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s82,TV Show,The Dark Empire,,Zendaya,Japan,"May 06, 2016",1990,TV-Y7,6 Seasons,"Thrillers, International Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s83,Movie,The Broken Kingdom,Takashi Miike,"Denzel Washington, Song Kang-ho",United States,"February 27, 2020",1994,TV-MA,143 min,"TV Action & Adventure, Crime TV Shows",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s84,Movie,The Wild Promise,James Cameron,,United Kingdom,"December 06, 2021",2019,TV-MA,81 min,"Documentaries, Horror Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s85,Movie,The Fallen Journey,James Cameron,"Pedro Pascal, Timothée Chalamet",Italy,"September 21, 2020",1997,G,169 min,"TV Comedies, International Movies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s86,Movie,The Endless Heart,Denis Villeneuve,"Shah Rukh Khan, Zendaya, Ana de Armas, Denzel Washington",Italy,"March 15, 2020",2018,TV-MA,180 min,"TV Dramas, International Movies, Anime Series",A compelling narrative following characters as they navigate challenges in a changing world.
s87,Movie,The Wild Storm,Yorgos Lanthimos,,India,"January 26, 2020",1992,PG-13,117 min,"Action & Adventure, TV Action & Adventure","A heartwarming story of friendship, love, and perseverance across generations."
s88,Movie,The Midnight Chronicles,Yorgos Lanthimos,"Pedro Pascal, Meryl Streep, Penélope Cruz, Daniel Kaluuya",France,"August 15, 2020",1999,PG-13,127 min,TV Dramas,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s89,Movie,The Eternal Echo,Guillermo del Toro,"Penélope Cruz, Marion Cotillard, Cillian Murphy",France,"May 06, 2019",2016,TV-MA,156 min,"Comedies, TV Dramas, Action & Adventure","An in-depth exploration of human emotions, secrets, and the choices that define us."
s90,Movie,The Midnight Truth,Spike Lee,"Shah Rukh Khan, Timothée Chalamet, Denzel Washington, Daniel Kaluuya",France,"May 11, 2022",2015,PG,146 min,"Action & Adventure, Children & Family Movies, Crime TV Shows",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s91,TV Show,The Hidden Kingdom,,"Marion Cotillard, Margot Robbie, Leonardo DiCaprio",United Kingdom,"October 31, 2018",2021,TV-14,2 Seasons,International Movies,A compelling narrative following characters as they navigate challenges in a changing world.
s92,Movie,The Lost Kingdom,Takashi Miike,"Meryl Streep, Dev Patel, Timothée Chalamet, Zendaya",Australia,"October 26, 2016",2001,PG,162 min,"Comedies, International TV Shows","An in-depth exploration of human emotions, secrets, and the choices that define us."
s93,Movie,The Broken Chronicles,Taika Waititi,"Zendaya, Pedro Pascal",Canada,"June 21, 2018",2020,G,117 min,"TV Action & Adventure, Anime Series, Romantic TV Shows","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s94,Movie,The Midnight Kingdom,Anurag Kashyap,"Priyanka Chopra, Tom Hanks, Cillian Murphy",Japan,"May 22, 2020",2013,R,161 min,"Documentaries, Children & Family Movies, Action & Adventure","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s95,Movie,The Frozen Kingdom,Greta Gerwig,"Denzel Washington, Scarlett Johansson, Penélope Cruz",United States,"June 12, 2019",2022,TV-MA,100 min,"Action & Adventure, TV Comedies","When an unexpected event turns their life upside down, an unlikely hero must step up."
s96,Movie,The Lost Whisper,Greta Gerwig,Meryl Streep,Spain,"July 22, 2016",2020,TV-PG,148 min,Action & Adventure,A compelling narrative following characters as they navigate challenges in a changing world.
s97,Movie,The Hidden Mirage,Taika Waititi,"Gong Yoo, Viola Davis, Zendaya, Florence Pugh",India,"September 16, 2019",2019,R,84 min,"Romantic TV Shows, Dramas",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s98,Movie,The Broken Night,Ridley Scott,"Leonardo DiCaprio, Cillian Murphy, Margot Robbie",South Korea,"June 30, 2022",1995,TV-MA,78 min,"Romantic TV Shows, Reality TV, TV Action & Adventure","A heartwarming story of friendship, love, and perseverance across generations."
s99,Movie,The Rising Echo,,"Margot Robbie, Mahershala Ali, Pedro Pascal",,"November 13, 2018",2005,R,168 min,"TV Dramas, International Movies, Comedies","An in-depth exploration of human emotions, secrets, and the choices that define us."
s100,Movie,The Eternal Chronicles,,"Ana de Armas, Priyanka Chopra, Shah Rukh Khan",Italy,"June 01, 2015",2008,G,75 min,Comedies,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s101,TV Show,The Fallen Dream,Takashi Miike,"Mahershala Ali, Meryl Streep, Zendaya",Japan,"October 04, 2023",1993,TV-G,3 Seasons,"Documentaries, TV Comedies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s102,TV Show,The Frozen Dream,,Javier Bardem,France,"October 27, 2020",2007,TV-MA,6 Seasons,"Action & Adventure, International TV Shows","A heartwarming story of friendship, love, and perseverance across generations."
s103,TV Show,The Eternal Mirage,,,Mexico,"January 01, 2020",2017,TV-14,6 Seasons,"TV Comedies, Anime Series",A compelling narrative following characters as they navigate challenges in a changing world.
s104,TV Show,The Crimson Symphony,Spike Lee,,Mexico,"October 02, 2020",2000,TV-MA,2 Seasons,"Anime Series, Comedies, International Movies",A compelling narrative following characters as they navigate challenges in a changing world.
s105,Movie,The Crimson Valley,James Cameron,"Meryl Streep, Cillian Murphy, Shah Rukh Khan, Dev Patel",France,"July 23, 2023",1994,PG,137 min,"Crime TV Shows, TV Dramas",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s106,Movie,The Lost Empire,Denis Villeneuve,"Marion Cotillard, Song Kang-ho, Omar Sy",Italy,"January 02, 2020",2003,NC-17,158 min,"Romantic Movies, Documentaries","When an unexpected event turns their life upside down, an unlikely hero must step up."
s107,TV Show,The Frozen Horizon,Pedro Almodóvar,,France,"December 16, 2022",1994,TV-Y,5 Seasons,"Children & Family Movies, Thrillers",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s108,TV Show,The Eternal Valley,,,Italy,"November 12, 2023",2021,TV-MA,3 Seasons,"TV Action & Adventure, TV Comedies, Anime Series","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s109,TV Show,The Hidden Symphony,Martin Scorsese,"Song Kang-ho, Lupita Nyong'o",Germany,"August 05, 2019",1994,TV-14,3 Seasons,"Action & Adventure, Anime Series, Romantic TV Shows",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s110,Movie,The Hidden Mirage,,"Priyanka Chopra, Zendaya, Shah Rukh Khan, Gong Yoo",United States,"October 23, 2020",1999,NC-17,91 min,TV Dramas,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s111,Movie,The Fallen Truth,Martin Scorsese,"Tom Hanks, Ana de Armas",Japan,"May 25, 2018",2024,R,134 min,"Thrillers, International Movies, TV Action & Adventure",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s112,Movie,The Forgotten Whisper,Yorgos Lanthimos,,United States,"March 12, 2022",2006,G,168 min,"International TV Shows, Dramas, Docuseries",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s113,Movie,The Wild Protocol,Guillermo del Toro,"Florence Pugh, Penélope Cruz, Denzel Washington",United Kingdom,"June 06, 2020",2019,G,113 min,"International Movies, TV Dramas, Romantic TV Shows",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s114,TV Show,The Crimson Dream,,"Marion Cotillard, Omar Sy",Canada,"December 31, 2017",2018,TV-14,2 Seasons,Comedies,"An in-depth exploration of human emotions, secrets, and the choices that define us."
s115,TV Show,The Forgotten Shadow,,Timothée Chalamet,Brazil,"July 23, 2023",2000,TV-Y7,5 Seasons,"Docuseries, Children & Family Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s116,Movie,The Midnight Kingdom,Pedro Almodóvar,Tom Hanks,United States,"July 20, 2020",2020,NC-17,138 min,Documentaries,"In a race against time, a dedicated team unravels a mystery that threatens everything."
s117,Movie,The Endless Valley,James Cameron,"Meryl Streep, Song Kang-ho",Germany,"March 16, 2021",2008,R,119 min,"Anime Series, Romantic TV Shows, Sci-Fi & Fantasy","A humorous and insightful look into modern relationships, career ambitions, and daily life."
s118,TV Show,The Forgotten Promise,,,Italy,"April 03, 2021",2013,TV-14,2 Seasons,"Reality TV, Crime TV Shows, TV Action & Adventure",A compelling narrative following characters as they navigate challenges in a changing world.
s119,Movie,The Hidden Whisper,Sion Sono,"Penélope Cruz, Shah Rukh Khan, Cillian Murphy, Marion Cotillard",Australia,"May 29, 2019",2009,TV-MA,134 min,"Romantic TV Shows, Docuseries, Children & Family Movies","In a race against time, a dedicated team unravels a mystery that threatens everything."
s120,TV Show,The Crimson Whisper,Alfonso Cuarón,"Florence Pugh, Pedro Pascal, Lupita Nyong'o, Ana de Armas",,"May 09, 2022",2004,TV-G,1 Season,"Docuseries, Thrillers, Reality TV",Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s121,TV Show,The Midnight Night,Guillermo del Toro,,Brazil,"March 19, 2015",2018,TV-PG,4 Seasons,International TV Shows,Dark forces emerge as secrets long buried finally come to light in this thrilling drama.
s122,Movie,The Fallen Symphony,Sion Sono,,Germany,"August 24, 2018",2020,TV-14,110 min,Anime Series,"A heartwarming story of friendship, love, and perseverance across generations."
s123,Movie,The Crimson Storm,Taika Waititi,"Tom Hanks, Scarlett Johansson, Mahershala Ali",Canada,"May 04, 2018",2008,G,158 min,"Docuseries, TV Dramas, TV Action & Adventure","An in-depth exploration of human emotions, secrets, and the choices that define us."
s124,Movie,The Endless Truth,Quentin Tarantino,"Dev Patel, Omar Sy, Song Kang-ho, Margot Robbie",Italy,"June 22, 2015",2008,R,114 min,"Sci-Fi & Fantasy, Docuseries","When an unexpected event turns their life upside down, an unlikely hero must step up."
s125,Movie,The Sacred Storm,Takashi Miike,"Shah Rukh Khan, Viola Davis",Australia,"July 27, 2015",2023,G,151 min,Comedies,A compelling narrative following characters as they navigate challenges in a changing world.
